C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.504681	0.252204	-1.351282	1.274265	-1.058605	-0.541836	-0.227825	1.270810	-1.318147	1.131310	0.514477	0.248754	-1.347660	1.328622	-1.131754	-0.543049	-0.237153	1.285097	-1.336823	1.151236	-0.203094	-0.005973	0.067002	0.350404	0.606130	0.001366	0.075657	-0.321085	-0.274433	-0.095008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.501614	0.252591	-1.350397	1.277140	-1.057248	-0.541439	-0.224345	1.266055	-1.317688	1.131415	0.511655	0.248854	-1.346234	1.333195	-1.123278	-0.543112	-0.236277	1.280251	-1.340822	1.150126	-0.159895	-0.001761	0.031128	0.219991	0.301398	-0.024291	0.037809	-0.206590	-0.184477	-0.072314	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.498696	0.251589	-1.349931	1.280647	-1.051904	-0.541050	-0.222262	1.262024	-1.320264	1.126613	0.509976	0.249027	-1.345489	1.337478	-1.118747	-0.543101	-0.235261	1.277319	-1.343367	1.149808	-0.089272	0.007966	-0.035273	0.213929	0.194153	0.001061	0.100327	-0.219568	-0.178971	-0.007231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.495944	0.251015	-1.349736	1.283951	-1.047585	-0.541104	-0.221657	1.258433	-1.322814	1.123592	0.507532	0.249191	-1.345218	1.339789	-1.115781	-0.543098	-0.233968	1.274648	-1.347366	1.149501	-0.165961	-0.000367	-0.027955	0.167957	0.165980	0.007085	0.119375	-0.220866	-0.283109	-0.077495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.492222	0.249996	-1.347078	1.288035	-1.035969	-0.542609	-0.223544	1.252691	-1.328115	1.117221	0.502224	0.249287	-1.345352	1.346072	-1.106587	-0.543117	-0.231376	1.266854	-1.355460	1.148042	-0.215923	-0.023384	-0.020519	0.175463	0.348529	-0.050529	0.072964	-0.285916	-0.323528	-0.062890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.492222	0.249996	-1.347078	1.288035	-1.035969	-0.542609	-0.223544	1.252691	-1.328115	1.117221	0.502224	0.249287	-1.345352	1.346072	-1.106587	-0.543117	-0.231376	1.266854	-1.355460	1.148042	-0.215923	-0.023384	-0.020519	0.175463	0.348529	-0.050529	0.072964	-0.285916	-0.323528	-0.062890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.490342	0.249372	-1.344749	1.288292	-1.028797	-0.543940	-0.223673	1.249599	-1.330542	1.114199	0.499051	0.249300	-1.345433	1.348584	-1.102323	-0.543150	-0.230283	1.262232	-1.359817	1.147694	-0.269356	-0.029092	-0.005542	0.139683	0.205845	0.005416	0.010786	-0.384534	-0.308034	-0.044675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.489043	0.249008	-1.343263	1.289270	-1.024657	-0.544696	-0.223816	1.246734	-1.331601	1.112939	0.494902	0.249318	-1.345425	1.351146	-1.098150	-0.543205	-0.229830	1.258084	-1.364663	1.147528	-0.222355	0.000580	-0.035450	0.167512	0.303245	-0.023886	0.009221	-0.321114	-0.306484	-0.088219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.487080	0.249071	-1.342238	1.290989	-1.023919	-0.545009	-0.224005	1.243285	-1.332200	1.114521	0.491964	0.249314	-1.345278	1.353694	-1.094746	-0.543241	-0.229497	1.254710	-1.368419	1.147567	-0.179269	0.000058	0.027862	0.090034	0.218765	-0.002389	0.014881	-0.293834	-0.334246	0.043523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.484595	0.249000	-1.340603	1.291583	-1.021479	-0.545312	-0.222898	1.240812	-1.334958	1.114769	0.489728	0.249337	-1.345225	1.356021	-1.090358	-0.543393	-0.229083	1.250909	-1.371908	1.147769	-0.206367	0.012801	-0.053048	0.120672	0.248703	-0.066542	0.035221	-0.308554	-0.193948	0.105552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
